"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.10.2024","237,90","241,40","242,80","236,23","57,27M","-1,47%"
"30.10.2024","241,45","242,70","246,22","241,11","39,83M","-0,50%"
"29.10.2024","242,66","243,20","244,60","239,88","47,13M","0,04%"
"28.10.2024","242,56","245,02","249,00","241,61","71,94M","-1,54%"
"25.10.2024","246,35","252,72","255,35","245,70","80,59M","-2,49%"
"24.10.2024","252,64","252,01","254,27","250,25","28,76M","0,25%"
"23.10.2024","252,01","255,10","255,90","251,34","30,42M","-1,34%"
"22.10.2024","255,42","258,10","258,80","255,25","17,06M","-1,08%"
"21.10.2024","258,21","257,30","259,85","256,78","21,47M","0,40%"
"18.10.2024","257,19","256,21","258,90","254,41","30,02M","0,24%"
"17.10.2024","256,57","259,50","260,45","256,03","24,66M","-1,13%"
"16.10.2024","259,50","262,05","264,72","258,45","40,21M","-0,97%"
"15.10.2024","262,03","260,94","263,70","259,84","26,25M","0,29%"
"14.10.2024","261,28","256,15","263,91","254,10","64,21M","1,69%"
"11.10.2024","256,94","259,80","260,07","256,80","24,85M","-1,17%"
"10.10.2024","259,98","260,88","261,64","258,91","17,68M","-0,34%"
"09.10.2024","260,86","262,42","263,80","259,59","25,02M","-0,59%"
"08.10.2024","262,40","263,00","263,80","261,89","16,16M","-0,38%"
"07.10.2024","263,39","264,25","267,00","261,37","28,94M","-0,27%"
"04.10.2024","264,09","264,96","265,44","262,11","25,99M","-0,06%"
"03.10.2024","264,25","259,31","264,49","257,20","56,53M","1,91%"
"02.10.2024","259,31","266,01","268,00","258,52","46,52M","-2,62%"
"01.10.2024","266,29","267,60","268,68","264,00","52,13M","-0,82%"
